id,age,gender,salary
0,48,F,50809
1,45,male,40711
2,37,Male,34496
3,23,male,40569
4,56,Male,48503
5,57,male,49503
6,44,Female,43439
7,48,Female,44277
8,53,female,57643
9,35,F,39073
10,56,F,60522
11,49,male,55615
12,42,female,47488
13,55,Male,47724
14,47,Female,40721
15,20,male,24823
16,27,female,31782
17,34,female,39469
18,53,male,46464
19,38,female,44281
20,49,Female,60412
21,29,Female,30594
22,46,female,63049
23,39,M,56480
24,44,female,37573
25,28,Male,25066
26,59,male,76074
27,53,male,56647
28,40,M,37263
29,43,M,61183
30,26,female,40018
31,23,male,23727
32,27,M,37468
33,32,male,32417
34,40,F,47894
35,54,male,57706
36,24,M,35959
37,27,M,41313
38,21,F,40154
39,43,M,48941
40,35,F,39829
41,23,M,24717
42,49,M,40943
43,49,F,56593
44,54,M,71377
45,32,M,42472
46,56,male,49152
47,30,male,28394
48,38,female,54324
49,37,M,54966
50,36,Female,54434
51,30,Female,44918
52,34,female,39261
53,27,F,33220
54,48,Female,57845
55,36,M,33888
56,45,M,40947
57,24,M,31392
58,23,Female,28956
59,43,male,62569
60,30,Female,44397
61,49,Male,50618
62,59,Female,52435
63,54,Female,58730
64,52,Female,46839
65,55,Male,48175
66,forty,female,36837
67,57,Female,50414
68,24,F,30052
69,24,Male,40819
70,40,female,48390
71,44,F,52249
72,29,F,27625
73,38,M,36365
74,51,Male,48141
75,37,M,35542
76,53,Male,60013
77,34,male,29708
78,43,Female,49562
79,24,M,25123
80,51,Female,55636
81,28,female,36040
82,24,Male,42405
83,24,male,29875
84,53,male,44333
85,26,F,35877
86,45,M,62886
87,20,Male,25297
88,53,Female,47266
89,45,M,41641
90,51,Male,45445
91,31,Female,34583
92,25,Female,34116
93,39,female,33804
94,38,Female,45119
95,35,male,53066
96,23,Female,29122
97,51,Female,56742
98,37,Male,35551
99,24,F,31230
100,25,Male,46989
101,33,F,39163
102,37,male,32310
103,29,Male,30213
104,42,F,46946
105,37,Male,53845
106,23,M,36643
107,51,female,58131
108,25,M,37164
109,45,male,49058
110,25,F,41341
111,54,male,50848
112,24,M,34084
113,33,male,47665
114,21,female,27514
115,59,Male,54687
116,32,male,47302
117,24,M,39435
118,55,female,63951
119,55,Female,60805
120,38,F,53602
121,39,Female,44743
122,41,F,46616
123,20,F,21649
124,23,Female,27096
125,22,female,31105
126,56,Female,47953
127,44,F,48450
128,56,Female,77001
129,23,Male,22588
130,58,female,55542
131,26,M,37313
132,26,F,40615
133,44,Female,50159
134,34,M,47394
135,26,Male,23668
136,23,female,23466
137,53,male,49792
138,38,Male,35299
139,57,Male,72574
140,46,F,52029
141,24,M,35391
142,32,M,36494
143,33,M,44092
144,49,male,43022
145,29,male,31788
146,51,female,53572
147,20,F,28713
148,43,female,51592
149,48,M,44933
150,26,F,33386
151,50,male,73836
152,36,Female,41155
153,49,female,54434
154,44,Female,54915
155,47,M,55039
156,55,female,62300
157,26,F,33414
158,54,Female,71506
159,39,F,44812
160,33,Male,45858
161,49,M,53518
162,20,female,29741
163,57,male,78462
164,44,M,40320
165,53,M,69567
166,27,Female,36718
167,39,male,50838
168,49,Female,57716
169,23,Female,36677
170,40,Female,36260
171,46,Female,64961
172,29,Female,35091
173,42,male,39278
174,52,M,69420
175,30,F,42801
176,38,Male,58111
177,30,M,38775
178,23,Male,26945
179,42,Male,54395
180,24,Female,36868
181,24,female,31738
182,37,F,41826
183,36,Male,34695
184,22,Male,25335
185,27,Female,29614
186,59,M,51492
187,42,Male,58154
188,42,F,60706
189,21,Male,34859
190,58,male,76506
191,40,male,38632
192,43,male,53333
193,57,male,81116
194,39,female,34952
195,58,F,64161
196,46,male,43196
197,58,F,65867
198,26,M,36694
199,52,Female,67882
200,48,Male,42727
201,29,Female,46092
202,29,male,29327
203,31,Female,37380
204,22,Male,29369
205,22,M,34411
206,32,M,37858
207,50,female,57503
208,46,male,40681
209,25,F,29519
210,46,Female,46991
211,54,male,73785
212,28,F,36449
213,25,Female,35749
214,25,Male,39452
215,59,Female,78931
216,45,male,62021
217,38,F,41011
218,35,M,50401
219,42,Female,47832
220,30,Female,36193
221,35,Female,49513
222,48,Male,69041
223,57,Female,77740
224,39,Male,53274
225,40,Male,33424
226,47,Female,60037
227,52,male,58676
228,59,Male,63497
229,45,F,49518
230,29,female,35870
231,53,male,75637
232,28,F,37075
233,55,Female,61154
234,30,male,31766
235,29,male,30039
236,26,Male,23560
237,57,Female,66212
238,35,M,50199
239,45,F,55401
240,51,M,58581
241,50,Male,68421
242,51,male,45111
243,31,male,31210
244,46,F,51185
245,41,Female,47140
246,34,female,39555
247,27,Female,27091
248,23,Male,22886
249,27,M,35102
250,42,male,63123
251,35,Female,32003
252,53,Male,45432
253,41,Female,36018
254,42,M,35251
255,24,Male,31336
256,56,F,61682
257,26,male,40687
258,56,Male,63780
259,45,Male,59563
260,47,Male,40814
261,23,F,28329
262,51,M,55043
263,57,female,71018
264,28,Male,29351
265,55,Male,71511
266,45,F,48048
267,30,Female,36607
268,39,F,42572
269,57,Female,61044
270,34,Male,29992
271,54,Male,58242
272,28,male,28237
273,52,F,59501
274,30,Male,42101
275,41,female,46246
276,25,Male,31531
277,56,Male,52310
278,40,F,38695
279,31,female,34379
280,26,F,33318
281,21,Female,23923
282,58,Male,50531
283,43,M,37456
284,45,female,38691
285,44,male,58544
286,39,F,31080
287,59,M,81526
288,21,M,24386
289,54,M,72584
290,52,male,68204
291,36,male,40428
292,41,M,61913
